slot,policy,jain,alpha_0,alpha_1,alpha_2,weighted_fairness,gini,max_min,mean_rate,cell_edge_rate,operator_imbalance,num_users,num_allocated,total_allocation
99,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,20105527.341760468,2182945.0725416667,0.3442666666666667,5000,5000,75000.0
100,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,19992095.823908906,1907536.4540162473,0.3442666666666667,5000,5000,75000.0
101,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,19796510.273861565,1953823.7395606467,0.3442666666666667,5000,5000,75000.0
102,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,19773777.040906172,1901463.2449418388,0.3442666666666667,5000,5000,75000.0
103,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,19959542.21395038,2229407.403769941,0.3442666666666667,5000,5000,75000.0
104,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,20037230.494069763,2087476.18403413,0.3442666666666667,5000,5000,75000.0
105,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,20051386.80988759,2053068.8205127157,0.3442666666666667,5000,5000,75000.0
106,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,20443546.941160418,2244313.1127440813,0.3442666666666667,5000,5000,75000.0
107,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,20126860.34711117,1904168.6898402283,0.3442666666666667,5000,5000,75000.0
108,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,20108650.597165782,2167001.009534041,0.3442666666666667,5000,5000,75000.0
109,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,20021518.19113868,1907407.2712929046,0.3442666666666667,5000,5000,75000.0
110,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,19873046.85868761,1899171.507302763,0.3442666666666667,5000,5000,75000.0
111,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,19956998.868292395,2054963.3561242842,0.3442666666666667,5000,5000,75000.0
112,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,20020705.587290324,2110686.9298473913,0.3442666666666667,5000,5000,75000.0
113,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,19867714.86960482,2008075.560079042,0.3442666666666667,5000,5000,75000.0
114,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,19885382.43979114,1982079.6471590584,0.3442666666666667,5000,5000,75000.0
115,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,20020775.951217305,1825324.019170639,0.3442666666666667,5000,5000,75000.0
116,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,19730410.819056533,1938371.535369428,0.3442666666666667,5000,5000,75000.0
117,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,19905299.772442125,1946590.7669811791,0.3442666666666667,5000,5000,75000.0
118,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,19958041.12724063,2061346.9791536867,0.3442666666666667,5000,5000,75000.0
119,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,20086082.45413543,2185418.494604458,0.3442666666666667,5000,5000,75000.0
120,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,19839354.028426576,2130030.6301133856,0.3442666666666667,5000,5000,75000.0
121,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,19818760.02937859,2196487.8161312984,0.3442666666666667,5000,5000,75000.0
122,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,20004422.86557165,1825925.2206878022,0.3442666666666667,5000,5000,75000.0
123,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,19849826.273587253,2070534.43320157,0.3442666666666667,5000,5000,75000.0
124,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,19957625.74652464,2228990.3449601023,0.3442666666666667,5000,5000,75000.0
125,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,20123043.625653557,2078231.925175886,0.3442666666666667,5000,5000,75000.0
126,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,20135874.52492438,1911720.1797333674,0.3442666666666667,5000,5000,75000.0
127,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,19800756.908938665,1898535.8144314534,0.3442666666666667,5000,5000,75000.0
128,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,20456058.663499545,2146826.1924904212,0.3442666666666667,5000,5000,75000.0
129,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,19731196.390729025,1868296.2217823155,0.3442666666666667,5000,5000,75000.0
130,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,20122907.94151302,2102102.144708815,0.3442666666666667,5000,5000,75000.0
131,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,19872813.973479994,1900024.941961665,0.3442666666666667,5000,5000,75000.0
132,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,19861689.7423701,1820601.6149813414,0.3442666666666667,5000,5000,75000.0
133,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,20169801.705763154,2002528.6794893488,0.3442666666666667,5000,5000,75000.0
134,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,20092098.84591534,2002275.841857589,0.3442666666666667,5000,5000,75000.0
135,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,20179122.472230617,2117052.71093199,0.3442666666666667,5000,5000,75000.0
136,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,19933521.741141144,2084611.9848041397,0.3442666666666667,5000,5000,75000.0
137,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,20372044.656104438,2047517.766783456,0.3442666666666667,5000,5000,75000.0
138,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,20206648.246566847,2210021.6314507416,0.3442666666666667,5000,5000,75000.0
139,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,19852151.579453878,2223727.136892123,0.3442666666666667,5000,5000,75000.0
140,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,20356339.11268199,2082504.9490063144,0.3442666666666667,5000,5000,75000.0
141,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,19955689.678294994,2069127.1320468285,0.3442666666666667,5000,5000,75000.0
142,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,19986774.959252235,2046625.2746798112,0.3442666666666667,5000,5000,75000.0
143,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,19947146.31495487,2078060.9375919197,0.3442666666666667,5000,5000,75000.0
144,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,20045819.857174855,2132638.516510821,0.3442666666666667,5000,5000,75000.0
145,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,19914337.58089983,1704609.3865273239,0.3442666666666667,5000,5000,75000.0
146,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,19871451.55320283,2052933.9492686137,0.3442666666666667,5000,5000,75000.0
147,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,19669603.81320886,1942889.420255619,0.3442666666666667,5000,5000,75000.0
148,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,19939778.26231983,1910480.898661622,0.3442666666666667,5000,5000,75000.0
149,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,20129899.242813114,2166486.840931425,0.3442666666666667,5000,5000,75000.0
150,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,19981746.34670081,2005845.705473711,0.3442666666666667,5000,5000,75000.0
151,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,20160036.967673402,2021187.435258522,0.3442666666666667,5000,5000,75000.0
152,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,19907184.172762025,1999465.9508883301,0.3442666666666667,5000,5000,75000.0
153,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,20047715.96361914,2028431.6226793758,0.3442666666666667,5000,5000,75000.0
154,static,1.0,75000.0,13540.25100551105,-333.33333333333326,13540.25100551105,0.0,15.0,19851954.40705853,1937664.4727048045,0.3442666666666667,5000,5000,75000.0
